,ID,Street_cat,House №,Metro_cat,Time to metro,District_cat,Photos count
158,272710931,26,33,3,7.0,1,16
159,272047599,5,51,1,6.0,1,17
160,273235893,12,14,3,10.0,1,18
161,271487126,11,31,8,10.0,1,12
162,236952590,27,4,2,8.0,1,20
163,267882068,26,26,3,9.0,1,21
164,271577440,1,32,1,10.0,1,11
165,273795577,14,29,2,5.0,1,23
166,271764581,15,8,2,10.0,1,18
167,274744370,26,32,2,9.0,1,17
168,274442273,5,43,1,7.0,1,26
169,273689040,12,20,1,9.0,1,27
170,274455073,28,8,1,7.0,1,13
171,272262503,1,32,9,20.0,1,20
172,267127816,1,32,2,20.0,1,13
173,274999073,6,7,1,4.0,1,13
174,273894772,1,29,1,10.0,1,20
175,274085397,2,21,1,5.0,1,33
176,269357269,14,29,2,5.0,1,14
177,273906122,3,17,1,4.0,1,14
178,241709509,6,18,8,15.0,1,15
179,267357413,6,18,1,15.0,1,23
180,268872145,1,29,1,10.0,1,14
181,272718014,3,17,1,7.0,1,41
182,274095176,2,21,1,5.0,1,38
183,272406227,27,8,2,9.0,1,25
184,269938440,1,32,2,15.0,1,12
185,265972115,1,32,1,8.0,1,17
186,272294030,5,32,1,7.0,1,23
187,271917911,1,27,1,9.0,1,18
188,272096512,18,17,1,7.0,1,14
189,271453191,1,29,1,20.0,1,38
190,259213637,3,21,1,2.0,1,16
191,271066176,9,13,1,7.0,1,14
192,274431441,15,15,2,8.0,1,14
193,274751643,1,27,1,9.0,1,17
194,272470364,9,13,1,9.0,1,26
195,271499362,10,8,3,6.0,1,22
196,265591858,1,27,1,6.0,1,17
197,267743247,8,13,1,7.0,1,20
198,270598847,13,6,1,4.0,1,14
199,271983799,22,2,1,6.0,1,14
200,274686779,29,0,10,20.0,2,15
201,274862000,30,0,11,125.0,3,14
202,274747534,30,0,11,125.0,3,13
203,273551383,31,0,12,20.0,2,16
204,273693111,32,0,13,10.0,2,15
205,273510895,29,0,10,20.0,2,4
206,265111957,29,0,12,20.0,2,20
207,267761830,31,0,12,20.0,2,20
208,271601843,32,0,13,75.0,2,13
209,275004836,32,0,13,11.0,2,19
210,273907511,32,0,14,50.0,4,21
211,235355662,31,0,12,20.0,2,43
212,268903569,31,0,15,70.0,3,16
213,274794055,31,0,11,55.0,3,15
