ID,"Высота потолков, м",total_area,price,price_per_sqm,utility_payments,rooms_count,has_layout,layout_is_adjacent,layout_is_isolated,layout_is_studio,layout_is_unknown,parking_type,parking_is_unknown,renovation_grades,is_renovated,renovation_is_unknown,floor,storeys,first_floor,last_floor,residential_name,unknown_allowed,childrens,pets,is_home_series,elevator,balcony,Street_cat,House №,Metro_cat,Time to metro,District_cat,Photos count,rooms_layout_студия,rooms_layout_unknown,rooms_layout_изолированная,rooms_layout_смежная,rooms_layout_оба варианта,renovation_Без ремонта,renovation_Косметический,renovation_Евроремонт,renovation_unknown,renovation_Дизайнерский,trash_Да,trash_Нет,trash_unknown,home_type_старый фонд,home_type_сталинский,home_type_монолитно-кирпичный,home_type_блочный,home_type_unknown,home_type_монолитный,home_type_кирпичный,home_type_панельный
274849101,,190.0,590000.0,3105.2631578947367,0,4,0,0,0,0,1,0,1,3,1,0,4,5,0,0,0,1,0,0,0,0,0,13,6,1,5.0,1,41,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
223918678,,255.6,850000.0,3325.508607198748,1,5,0,0,0,0,1,0,1,2,1,0,8,9,0,0,1,0,1,1,0,0,0,10,8,2,8.0,1,13,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
274391259,3.3,186.0,190000.0,1021.505376344086,1,5,0,0,0,0,1,0,0,2,1,0,3,3,0,1,0,0,1,1,0,0,0,10,9,2,5.0,1,24,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
272945376,3.2,100.0,200000.0,2000.0,0,3,1,1,1,0,0,0,0,2,1,0,3,8,0,0,1,0,1,1,0,1,0,14,29,2,5.0,1,14,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
272612966,,150.0,200000.0,1333.3333333333333,0,5,0,0,0,0,1,0,1,2,1,0,4,7,0,0,0,1,0,0,0,1,1,11,18,2,11.0,1,25,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
271568490,,140.0,300000.0,2142.8571428571427,0,5,0,0,0,0,1,0,1,3,1,0,2,7,0,0,0,0,1,0,0,1,0,2,20,1,7.0,1,21,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
264664760,,132.8,400000.0,3012.048192771084,1,3,0,0,0,0,1,0,1,2,1,0,5,13,0,0,1,0,1,1,0,0,0,1,32,2,15.0,1,15,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
228923308,3.0,256.0,750000.0,2929.6875,1,5,0,0,0,0,1,1,0,3,1,0,8,10,0,0,1,0,1,1,0,2,0,10,8,2,10.0,1,21,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
267489303,4.0,380.0,870000.0,2289.4736842105262,1,6,0,0,0,0,1,0,0,1,1,0,3,6,0,0,0,0,1,1,0,1,0,4,5,2,5.0,1,20,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
273353104,3.15,112.0,350000.0,3125.0,0,3,0,0,0,0,1,1,0,,0,1,3,13,0,0,1,1,0,0,0,0,0,1,32,1,7.0,1,23,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
273353103,3.15,91.0,400000.0,4395.604395604396,0,2,0,0,0,0,1,1,0,,0,1,10,13,0,0,1,1,0,0,0,0,0,1,32,1,7.0,1,23,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
268321690,,135.0,400000.0,2962.962962962963,1,3,0,0,0,0,1,1,0,3,1,0,5,13,0,0,1,0,1,1,0,3,0,1,32,2,11.0,1,12,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
269496185,3.2,190.0,590000.0,3105.2631578947367,1,4,0,0,0,0,1,1,0,3,1,0,4,5,0,0,0,0,1,0,0,2,0,13,6,1,3.0,1,21,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
272188531,4.15,44.0,135000.0,3068.181818181818,0,2,0,0,0,0,1,0,1,,0,1,21,26,0,0,1,1,0,0,0,0,0,1,15,2,15.0,1,9,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
272727784,,85.0,150000.0,1764.7058823529412,1,3,0,0,0,0,1,0,1,2,1,0,7,7,0,1,0,0,1,1,0,0,1,5,15,1,10.0,1,12,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
267110043,3.0,100.0,320000.0,3200.0,0,2,0,0,0,0,1,0,1,,0,1,5,7,0,0,1,0,1,0,0,2,1,3,21,1,7.0,1,19,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
265323319,3.15,133.3,400000.0,3000.7501875468865,0,3,0,0,0,0,1,1,0,,0,1,5,13,0,0,1,0,1,0,0,0,0,1,32,1,7.0,1,25,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
265804792,3.8,210.0,400000.0,1904.7619047619048,0,4,0,0,0,0,1,0,1,,0,1,3,5,0,0,0,0,0,1,0,0,1,2,21,1,7.0,1,24,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
239000408,,180.0,450000.0,2500.0,0,4,0,0,0,0,1,0,1,,0,1,4,4,0,1,0,0,1,1,0,0,0,15,15,2,9.0,1,34,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
271209314,3.35,165.0,470000.0,2848.4848484848485,0,4,0,0,0,0,1,0,1,,0,1,9,16,0,0,1,0,0,1,0,2,0,1,27,1,5.0,1,31,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
269889430,4.05,190.0,590000.0,3105.2631578947367,0,4,0,0,0,0,1,0,1,,0,1,4,6,0,0,0,0,0,1,0,0,0,13,6,1,6.0,1,20,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
241704098,3.35,168.0,600000.0,3571.4285714285716,0,4,0,0,0,0,1,0,1,,0,1,4,16,0,0,1,0,1,0,0,2,0,1,27,1,5.0,1,26,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
239000331,,250.0,850000.0,3400.0,0,5,0,0,0,0,1,0,1,,0,1,8,9,0,0,1,0,0,1,0,2,0,10,8,3,8.0,1,23,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
272823500,,85.0,150000.0,1764.7058823529412,0,3,1,0,1,0,0,1,0,2,1,0,7,7,0,1,0,1,0,0,0,1,1,5,15,2,7.0,1,12,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
274402813,,105.0,195000.0,1857.142857142857,1,3,0,0,0,0,1,1,0,2,1,0,6,17,0,0,1,0,1,1,0,0,0,16,8,1,5.0,1,24,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
